Nomor Perkara,Tanggal Penetapan,Tanggal Sidang Pertama
120/Pid.Sus-TPK/2017/PN Jkt.Pst,"Selasa, 07 Nov. 2017","Rabu, 22 Nov. 2017"
122/Pid.Sus-TPK/2017/PN Jkt.Pst,"Rabu, 08 Nov. 2017","Selasa, 14 Nov. 2017"
123/Pid.Sus-TPK/2017/PN Jkt.Pst,"Rabu, 15 Nov. 2017","Senin, 20 Nov. 2017"
126/Pid.Sus-TPK/2017/PN Jkt.Pst,"Kamis, 16 Nov. 2017","Rabu, 22 Nov. 2017"
124/Pid.Sus-TPK/2017/PN Jkt.Pst,"Kamis, 16 Nov. 2017","Rabu, 22 Nov. 2017"
125/Pid.Sus-TPK/2017/PN Jkt.Pst,"Kamis, 16 Nov. 2017","Rabu, 22 Nov. 2017"
127/Pid.Sus-TPK/2017/PN Jkt.Pst,"Selasa, 28 Nov. 2017","Rabu, 06 Des. 2017"
129/Pid.Sus-TPK/2017/PN Jkt.Pst,"Kamis, 30 Nov. 2017","Senin, 11 Des. 2017"
128/Pid.Sus-TPK/2017/PN Jkt.Pst,"Kamis, 30 Nov. 2017","Senin, 11 Des. 2017"
130/Pid.Sus-TPK/2017/PN Jkt.Pst,"Kamis, 07 Des. 2017","Rabu, 13 Des. 2017"
131/Pid.Sus-TPK/2017/PN Jkt.Pst,"Rabu, 20 Des. 2017","Kamis, 04 Jan. 2018"
132/Pid.Sus-TPK/2017/PN Jkt.Pst,"Selasa, 19 Des. 2017","Rabu, 03 Jan. 2018"
1/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 04 Jan. 2018","Kamis, 11 Jan. 2018"
2/Pid.Sus-TPK/2018/PN Jkt.Pst,"Selasa, 09 Jan. 2018","Kamis, 18 Jan. 2018"
96/Pid.Sus-TPK/2017/PN Jkt.Pst,"Selasa, 25 Jul. 2017","Rabu, 02 Agu. 2017"
95/Pid.Sus-TPK/2017/PN Jkt.Pst,"Selasa, 25 Jul. 2017","Rabu, 02 Agu. 2017"
98/Pid.Sus-TPK/2017/PN Jkt.Pst,"Rabu, 26 Jul. 2017","Rabu, 02 Agu. 2017"
97/Pid.Sus-TPK/2017/PN Jkt.Pst,"Rabu, 26 Jul. 2017","Rabu, 02 Agu. 2017"
99/Pid.Sus-TPK/2017/PN Jkt.Pst,"Jumat, 04 Agu. 2017","Jumat, 11 Agu. 2017"
100/Pid.Sus-TPK/2017/PN Jkt.Pst,"Rabu, 09 Agu. 2017","Senin, 14 Agu. 2017"
102/Pid.Sus-TPK/2017/PN Jkt.Pst,"Kamis, 10 Agu. 2017","Rabu, 16 Agu. 2017"
101/Pid.Sus-TPK/2017/PN Jkt.Pst,"Kamis, 10 Agu. 2017","Rabu, 16 Agu. 2017"
105/Pid.Sus-TPK/2017/PN Jkt.Pst,"Kamis, 10 Agu. 2017","Rabu, 16 Agu. 2017"
104/Pid.Sus-TPK/2017/PN Jkt.Pst,"Jumat, 11 Agu. 2017","Rabu, 16 Agu. 2017"
103/Pid.Sus-TPK/2017/PN Jkt.Pst,"Selasa, 08 Agu. 2017","Jumat, 18 Agu. 2017"
106/Pid.Sus-TPK/2017/PN Jkt.Pst,"Jumat, 11 Agu. 2017","Rabu, 16 Agu. 2017"
108/Pid.Sus-TPK/2017/PN Jkt.Pst,"Rabu, 30 Agu. 2017","Rabu, 06 Sep. 2017"
107/Pid.Sus-TPK/2017/PN Jkt.Pst,"Rabu, 30 Agu. 2017","Rabu, 06 Sep. 2017"
109/Pid.Sus-TPK/2017/PN Jkt.Pst,"Kamis, 31 Agu. 2017","Kamis, 07 Sep. 2017"
110/Pid.Sus-TPK/2017/PN Jkt.Pst,"Rabu, 11 Okt. 2017","Rabu, 18 Okt. 2017"
111/Pid.Sus-TPK/2017/PN Jkt.Pst,"Rabu, 11 Okt. 2017","Rabu, 18 Okt. 2017"
112/Pid.Sus-TPK/2017/PN Jkt.Pst,"Selasa, 10 Okt. 2017","Senin, 16 Okt. 2017"
113/Pid.Sus-TPK/2017/PN Jkt.Pst,"Selasa, 10 Okt. 2017","Rabu, 18 Okt. 2017"
114/Pid.Sus-TPK/2017/PN Jkt.Pst,"Senin, 23 Okt. 2017","Rabu, 01 Nov. 2017"
75/Pid.Sus-TPK/2017/PN Jkt.Pst,"Jumat, 26 Mei 2017","Senin, 05 Jun. 2017"
76/Pid.Sus-TPK/2017/PN Jkt.Pst,"Senin, 05 Jun. 2017","Rabu, 14 Jun. 2017"
82/Pid.Sus-TPK/2017/PN Jkt.Pst,"Selasa, 06 Jun. 2017","Selasa, 13 Jun. 2017"
81/Pid.Sus-TPK/2017/PN Jkt.Pst,"Rabu, 07 Jun. 2017","Selasa, 13 Jun. 2017"
80/Pid.Sus-TPK/2017/PN Jkt.Pst,"Kamis, 08 Jun. 2017","Rabu, 14 Jun. 2017"
79/Pid.Sus-TPK/2017/PN Jkt.Pst,"Rabu, 07 Jun. 2017","Rabu, 14 Jun. 2017"
78/Pid.Sus-TPK/2017/PN Jkt.Pst,"Senin, 05 Jun. 2017","Rabu, 14 Jun. 2017"
77/Pid.Sus-TPK/2017/PN Jkt.Pst,"Kamis, 08 Jun. 2017","Rabu, 14 Jun. 2017"
83/Pid.Sus-TPK/2017/PN Jkt.Pst,"Kamis, 08 Jun. 2017","Senin, 12 Jun. 2017"
86/Pid.Sus-TPK/2017/PN Jkt.Pst,"Rabu, 14 Jun. 2017","Rabu, 21 Jun. 2017"
85/Pid.Sus-TPK/2017/PN Jkt.Pst,"Rabu, 14 Jun. 2017","Rabu, 21 Jun. 2017"
84/Pid.Sus-TPK/2017/PN Jkt.Pst,"Rabu, 14 Jun. 2017","Rabu, 21 Jun. 2017"
87/Pid.Sus-TPK/2017/PN Jkt.Pst,"Kamis, 15 Jun. 2017","Rabu, 21 Jun. 2017"
